evaluated,hit_rate,hits,max_abs_SCAR,mean_abs_SCAR,median_abs_SCAR,run_id,scope,skipped
186,0.07526881720430108,14,6.691101557193222,0.8594499734652632,0.6117238915386043,15,all,0
131,0.11450381679389313,15,7.402504941276007,0.9388199917317416,0.6246219015352161,15,first_order,1
54,0.1111111111111111,6,3.6769103605760836,0.9350112342826019,0.7278651034434755,15,second_order,0
185,0.08108108108108109,15,6.107143258536974,0.8534490979569612,0.5864071903269055,16,all,1
131,0.08396946564885496,11,5.293386789610306,0.9015668377613372,0.737788801052602,16,first_order,1
53,0.07547169811320754,4,3.863592381570207,0.9242301714890879,0.8082821481198705,16,second_order,1
186,0.12903225806451613,24,7.402504941276007,1.0028193748437373,0.6240256774674762,17,all,0
132,0.13636363636363635,18,5.293386789610306,0.9598124651550903,0.6197429779770802,17,first_order,0
54,0.07407407407407407,4,4.255759867545777,0.9112545653235347,0.7378680512354291,17,second_order,0
185,0.10810810810810811,20,5.799280119074019,0.9689140909425065,0.7329804417329422,18,all,1
132,0.08333333333333333,11,4.751979074252413,0.8721085611281171,0.6829467760496103,18,first_order,0
54,0.14814814814814814,8,5.6157714726161645,1.1091042494667935,0.8457379292781365,18,second_order,0
186,0.0913978494623656,17,5.263562138717859,0.9205944815638792,0.7052126981357466,19,all,0
132,0.09848484848484848,13,6.107143258536974,0.8408104844027166,0.5952433084737938,19,first_order,0
53,0.09433962264150944,5,6.691101557193222,0.9818871462363339,0.598109566984205,19,second_order,1
185,0.11351351351351352,21,5.799280119074019,0.9316589563053496,0.6223801592538857,20,all,1
132,0.12121212121212122,16,5.799280119074019,0.9634308553342716,0.7291786329562128,20,first_order,0
54,0.12962962962962962,7,2.3642861565928515,0.8189685113983661,0.6672907161907291,20,second_order,0
186,0.0913978494623656,17,6.107143258536974,0.9023403302710838,0.673884891448889,21,all,0
132,0.1590909090909091,21,5.293386789610306,1.1065888344161299,0.7855610754155288,21,first_order,0
54,0.1111111111111111,6,3.928708631946251,0.8390659245586853,0.4298418981737959,21,second_order,0
186,0.10752688172043011,20,7.402504941276007,0.9328689648643976,0.6760027289118453,22,all,0
132,0.08333333333333333,11,7.402504941276007,0.9525527042948878,0.6855483341550819,22,first_order,0
54,0.05555555555555555,3,2.8714948985655466,0.7643100394760812,0.5917165023052324,22,second_order,0
185,0.0972972972972973,18,5.293386789610306,0.8423114684322178,0.5460595159835859,23,all,1
131,0.11450381679389313,15,4.840509145429005,0.9130924850877041,0.6176893513103209,23,first_order,1
53,0.1320754716981132,7,4.840509145429005,0.9792271404580623,0.7952499632605499,23,second_order,1
186,0.10215053763440861,19,4.646173456637406,0.9175830869332822,0.6943486566612002,24,all,0
131,0.06870229007633588,9,7.402504941276007,0.8543847213303197,0.5948820295492689,24,first_order,1
54,0.09259259259259259,5,5.379663780555674,0.9738695129025299,0.7062258131718554,24,second_order,0
186,0.10215053763440861,19,4.456760860548637,0.8874575391233593,0.7029808169414911,25,all,0
130,0.07692307692307693,10,5.164087683548203,0.7991678926523387,0.5866290731850841,25,first_order,2
54,0.09259259259259259,5,2.731211715402172,0.8885362864827524,0.6367851703543314,25,second_order,0
186,0.10215053763440861,19,5.379663780555674,0.9384398940469817,0.7379856722844127,26,all,0
131,0.10687022900763359,14,5.185106371957386,0.8868944980907997,0.6335053960107315,26,first_order,1
54,0.07407407407407407,4,4.255759867545777,0.8366009799956727,0.5704707727664274,26,second_order,0
185,0.10270270270270271,19,6.107143258536974,0.8957009717433428,0.6646406547296743,27,all,1
131,0.07633587786259542,10,4.751979074252413,0.8500757241457112,0.6876007882407759,27,first_order,1
54,0.12962962962962962,7,3.863592381570207,1.0173474844855648,0.8577278833640033,27,second_order,0
184,0.10869565217391304,20,5.185106371957386,0.9431086034295442,0.7023089864332938,28,all,2
132,0.11363636363636363,15,7.402504941276007,0.938702827014737,0.7312036978819871,28,first_order,0
53,0.1509433962264151,8,2.6807289449508125,1.0828337581806378,0.9495605322712521,28,second_order,1
185,0.11351351351351352,21,5.379663780555674,0.9171589475239449,0.6930003783211475,29,all,1
131,0.12213740458015267,16,7.402504941276007,0.9600584985940661,0.7568665735677531,29,first_order,1
54,0.037037037037037035,2,6.107143258536974,0.8151282172518812,0.608764964889647,29,second_order,0
185,0.10270270270270271,19,7.402504941276007,0.9511710907051413,0.6426561196993434,30,all,1
132,0.06060606060606061,8,6.107143258536974,0.8725176524728935,0.6218162881961808,30,first_order,0
54,0.05555555555555555,3,4.526698006705169,0.7885453989930461,0.5027167710380019,30,second_order,0
186,0.06451612903225806,12,5.164087683548203,0.8065653697851639,0.6684722874997506,31,all,0
132,0.10606060606060606,14,5.379663780555674,0.9101972454747522,0.6073419638160966,31,first_order,0
